id;value;is_active;created_by;created_at;updated_by;updated_at
1;transmit;true;Jewelery Home;2021-05-07;Integration program;2021-05-08
2;auxiliary vortals;true;interface;2021-05-07;Virginia indigo;2021-05-08
3;engage;false;holistic Soap;2021-05-08;Shoes disintermediate website;2021-05-08
4;multimedia;false;Directives Wooden;2021-05-07;matrix;2021-05-08
5;connecting;false;Analyst Ireland;2021-05-07;transitional;2021-05-07
6;expedite Shoes AGP;true;Pants violet;2021-05-07;Nauru partnerships;2021-05-07
7;parse JBOD Rubber;true;online national;2021-05-07;Micronesia Account;2021-05-07
8;Metal;true;streamline CSS executive;2021-05-07;Cheese application yellow;2021-05-07
9;Fields Personal;true;multimedia;2021-05-07;Avon Place;2021-05-07
10;Loan Buckinghamshire generating;false;XSS;2021-05-08;collaborative parsing;2021-05-08
