id;name;code;description;is_active;created_by;created_at;updated_by;updated_at
1;Fantastic Dollar Administrator;solution FTP;bypass blue multi-byte;false;Ergonomic;2021-05-08;Liberia Zimbabwe;2021-05-07
2;cross-platform Shoes;up Security;Handmade payment;true;productivity Baht AGP;2021-05-07;Berkshire Guinea-Bissau;2021-05-08
3;calculate;primary Savings;Gorgeous;true;Producer concept Avon;2021-05-07;Hawaii;2021-05-07
4;system-worthy;hacking;Operations Small Berkshire;true;Practical RSS utilize;2021-05-08;blue Estonia;2021-05-07
5;mindshare;Cuba Maine Up-sized;clicks-and-mortar;false;knowledge high-level Home;2021-05-08;Tuvalu Fields Automotive;2021-05-07
6;Concrete;navigate black Trafficway;visionary Gloves COM;true;intuitive motivating;2021-05-08;Guatemala Soft;2021-05-08
7;systems indexing workforce;application calculating;parse;true;enterprise XML Wooden;2021-05-08;Kroon;2021-05-08
8;Plastic markets;didactic program to;Ball Toys Liberia;false;engage leverage;2021-05-08;interface hacking;2021-05-08
9;modular Awesome;Concrete brand deposit;Quality virtual;false;virtual;2021-05-08;deposit fuchsia;2021-05-08
10;Buckinghamshire Brand Pula;Movies Handmade;Motorway Electronics;true;Account;2021-05-07;web-enabled Director quantifying;2021-05-08
