id;category;title;code;is_active;created_by;created_at;updated_by;updated_at
1;Implemented;program Licensed Metal;Card;false;Vista;2021-05-09;invoice;2021-05-09
2;Response neural;visualize Texas;Senior;false;experiences Usability Corporate;2021-05-09;generating Tools;2021-05-09
3;port;purple;Executive Checking Regional;true;Lights;2021-05-09;Account Knoll primary;2021-05-10
4;synergies driver Architect;Accounts;optical;true;up;2021-05-09;invoice Administrator plum;2021-05-09
5;Bangladesh Minnesota;networks;Helena invoice SMTP;false;North cross-platform;2021-05-09;Orchestrator;2021-05-09
6;interactive Fish JBOD;Roads bricks-and-clicks;Prairie Investor deposit;false;quantify;2021-05-09;white Tools neural;2021-05-09
7;parse Jersey Checking;bypassing;Cheese;true;user-facing Reduced;2021-05-10;JSON mobile seamless;2021-05-09
8;Small Representative invoice;systems e-business;plum;false;online grey cyan;2021-05-09;Program deposit e-enable;2021-05-10
9;quantifying navigating AGP;Rustic Plastic Hills;Fish;false;Salad;2021-05-10;Borders Alabama;2021-05-09
10;impactful sexy;CSS;program platforms;false;Assurance Chief Kyat;2021-05-10;lavender Legacy Locks;2021-05-09
