id;template_title;description;job_level;is_description_editable;distribution_type;distribution_limit;is_active;created_by;created_at;updated_by;updated_at
1;neural Lead cohesive;Licensed;16937;true;Tiered;65977;false;Barbados green Japan;2021-05-09;Chicken;2021-05-09
2;radical;Total;13113;false;Automatic_Submit;74200;false;Borders;2021-05-10;action-items;2021-05-09
3;panel;silver Rupiah;76024;true;Tiered;94033;true;Customer;2021-05-10;Configurable Plains;2021-05-09
4;Steel indexing;turquoise;13943;false;Automatic_Approval;90023;true;Georgia International;2021-05-09;Wisconsin hardware;2021-05-09
5;Pants;Car Progressive;4260;true;Tiered;50578;true;systems Plastic hacking;2021-05-09;parse Brooks;2021-05-10
6;Loan;synthesizing indigo Clothing;27753;true;Tiered;48809;false;proactive deposit Liaison;2021-05-09;heuristic;2021-05-09
7;models content;indexing;19908;true;Automatic_Approval;34653;true;transmitter;2021-05-10;transmitting engage User-centric;2021-05-09
8;blue Berkshire;Arizona Unbranded Focused;78182;true;Automatic_Submit;26000;true;workforce Interface Gloves;2021-05-09;Usability optical;2021-05-10
9;program Forward;Sausages;17891;true;Automatic_Approval;28883;true;District quantify Massachusetts;2021-05-09;project Central;2021-05-09
10;District distributed;Account Awesome parse;96047;false;Automatic_Submit;55073;true;Mississippi scale Interactions;2021-05-09;red withdrawal Branding;2021-05-09
