id;currency;hourly_min;hourly_max;daily_min;daily_max;weekly_min;weekly_max;monthly_min;monthly_max;yearly_min;yearly_max;is_active;created_by;created_at;updated_by;updated_at
1;INR;39694;54270;27891;82061;53349;84641;86575;21602;11507;68702;false;withdrawal task-force evolve;2021-05-09;calculate;2021-05-10
2;USD;24700;15637;51407;14629;74623;23927;55584;67853;78014;20293;false;SMTP Persistent;2021-05-10;Land;2021-05-09
3;USD;91708;68596;68227;13197;23563;61085;81418;8744;76377;12646;true;1080p Borders quantifying;2021-05-09;Optimization Assimilated bypass;2021-05-09
4;USD;4554;7625;44299;36033;58160;80767;86740;86400;8717;59296;true;embrace deposit;2021-05-09;Representative secondary;2021-05-09
5;INR;4419;79308;8032;23506;66634;70230;95055;44724;26173;12095;false;technologies Horizontal user-facing;2021-05-09;Pizza;2021-05-10
6;USD;18833;90510;67684;1582;97222;97858;44462;58713;92635;92956;true;JBOD Clothing;2021-05-09;microchip;2021-05-09
7;INR;26748;59050;12433;65820;83785;39669;3519;22237;58404;44314;true;Soft;2021-05-09;Vermont Account Falls;2021-05-09
8;USD;68042;4396;89103;65821;70698;25389;70992;3978;76706;29052;true;Liaison;2021-05-09;Borders;2021-05-10
9;USD;97553;4297;46733;65632;2211;83885;85585;19825;80564;74076;false;Generic;2021-05-09;ADP Kids Portugal;2021-05-10
10;USD;2592;88694;20751;50608;35011;35062;40767;88428;37593;30898;true;virtual Tokelau;2021-05-09;Concrete frame;2021-05-10
